,Acme,Becky,Clara,Joan,Mike,Ralph,test,heldout,all
gemini-2.5-flash-0s,0.45680293389899007,0.7554702400455316,0.5502251710888049,0.6251905830609079,0.5151016457310755,0.5741366615134913,0.6128495550180758,0.5151016457310755,0.5346724702914709
gemini-2.5-flash-5s,0.6550376798485431,0.7764280427522243,0.7299617078865948,0.7472117205616136,0.5200248425900273,0.7231406628219555,0.7059744204604552,0.5200248425900273,0.6370495700747845
gemini-2.5-flash-10s,0.7529959370954691,0.8348851499609982,0.7230014063266181,0.8160072122934201,0.5888207360937371,0.5447113941580107,0.7706558733847573,0.5888207360937371,0.7209538742853093
gemini-2.5-flash-20s,0.7584200601317911,0.8643277892359085,0.8095616834225599,0.8147329831703092,0.5466337833078942,0.581762822091989,0.7844330384264371,0.5466337833078942,0.721768534077577
gpt-4-turbo-0s,0.4796888006013502,0.5177033948454413,0.43023546167113813,0.6537543571755211,0.5299720485648322,0.5258043785952351,0.5007389364924604,0.5299720485648322,0.4896392236679524
gpt-4-turbo-5s,0.6207057555765236,0.7538688917586261,0.6689012431012852,0.7231118833127943,0.518428035866818,0.5346823776580966,0.6717958954859129,0.518428035866818,0.6062125482916152
gpt-4-turbo-10s,0.6444892721137108,0.7880619087845604,0.6862246697184101,0.754389810259766,0.5760361296042436,0.6469079033437597,0.7190931022020902,0.5760361296042436,0.665706899409344
gpt-4-turbo-20s,0.6512055488418219,0.8250123901494648,0.6899513970343831,0.7818659688753619,0.5440088840153301,0.6200734800471706,0.7027806219788211,0.5440088840153301,0.6537721557917724
